,point,mode,modereal,modeimag,viscosity,trial,wavelength,windingnum,traveling
161,53,3,0.01213130361711961,0.021023265191744096,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
162,54,1,-0.018413977353502822,0.031020405392413686,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
163,54,2,-0.01718931425119509,-0.020763455898263006,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
164,54,3,0.013339756567540514,0.019633601223918155,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
165,55,1,-0.017428248468568264,0.03136586517206987,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
166,55,2,-0.015769323071212923,-0.02113955116015368,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
167,55,3,0.014469022761474947,0.018109064114405656,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
168,56,1,-0.016425111160655446,0.031690420820272965,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
169,56,2,-0.014347027783734706,-0.021509168124163525,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
170,56,3,0.015509091841855055,0.016472390958386995,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
171,57,1,-0.01540607424000208,0.031993337881913726,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
172,57,2,-0.01290947482894471,-0.021885991162937993,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
173,57,3,0.016439378762623896,0.014725766432942334,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
174,58,1,-0.01437119058029454,0.0322738348883315,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
175,58,2,-0.011469903675473929,-0.02226175582581203,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
176,58,3,0.01726655580814802,0.012851540155597,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
177,59,1,-0.01332054697834413,0.03253168836924099,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
178,59,2,-0.01003021851897482,-0.022623117034538336,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
179,59,3,0.017979073741333087,0.010876660226526561,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
180,60,1,-0.012255705356277343,0.03276629699304571,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
181,60,2,-0.008580861474690275,-0.022985831428881817,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
182,60,3,0.01856745288671692,0.0088160388940424,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
183,61,1,-0.011176912280624033,0.032976848673347346,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
184,61,2,-0.0071389333929439604,-0.023341065380131185,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
185,61,3,0.01903570397649804,0.00664992732897913,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
186,62,1,-0.010084589073745279,0.033163082132848,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
187,62,2,-0.0056931243770503015,-0.02370591968500099,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
188,62,3,0.019361196518962148,0.004404839617580456,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
189,63,1,-0.008979969950093765,0.03332466712401177,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
190,63,2,-0.004255491709112918,-0.02406511579585765,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
191,63,3,0.019536393947363846,0.0020774070431077247,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
192,64,1,-0.007863145808684614,0.033460664196053716,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
193,64,2,-0.002818293083730163,-0.02440909556712558,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
194,64,3,0.019566478134252004,-0.0003136859829638571,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
195,65,1,-0.006734962025348738,0.03357124000767004,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
196,65,2,-0.0013857161649770697,-0.024757534293761353,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
197,65,3,0.01944581528146799,-0.002758077964849617,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
198,66,1,-0.005596138240567356,0.033655884651647136,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
199,66,2,4.667591176773477e-05,-0.025091161988958145,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
200,66,3,0.0191743961720501,-0.005253621533211156,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
201,67,1,-0.00444752459008764,0.03371405897560721,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
202,67,2,0.0014673748668454821,-0.02541643148936729,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
203,67,3,0.018735420132341078,-0.007779970825864593,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
204,68,1,-0.003289782122231018,0.03374578066886404,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
205,68,2,0.0028758236955002295,-0.0257366865346174,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
206,68,3,0.01814267894567014,-0.010325830029026413,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
207,69,1,-0.002123474992188739,0.033750109749961676,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
208,69,2,0.004269975152160777,-0.026045276495446273,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
209,69,3,0.017385029070001074,-0.012894323565254332,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
210,70,1,-0.0009495478762587572,0.03372717378175367,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
211,70,2,0.005661757817173811,-0.02634611626830255,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
212,70,3,0.01646080399964525,-0.015469029035528086,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
213,71,1,0.00023134156600963934,0.0336764744737565,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
214,71,2,0.007041721629477645,-0.02664270272929784,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
215,71,3,0.01537001611947338,-0.01802986708220168,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
216,72,1,0.0014184652189880387,0.03359760334800362,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
217,72,2,0.00839949316386682,-0.026919465295184037,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
218,72,3,0.014123532129464208,-0.020572476895274916,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
219,73,1,0.002611210058890526,0.033490594478278034,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
220,73,2,0.009747345921869996,-0.027181741737611956,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
221,73,3,0.012713400248152141,-0.023087529620780662,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
222,74,1,0.003808792827788548,0.03335525414421996,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
223,74,2,0.011082196535934353,-0.027435196574071757,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
224,74,3,0.011140558614140237,-0.02555787422427835,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
225,75,1,0.0050102855939227016,0.03319130354207476,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
226,75,2,0.012397010044550644,-0.02767164151614104,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
227,75,3,0.009412937502400753,-0.02797642024644823,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
228,76,1,0.006215212386378154,0.03299857820527545,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
229,76,2,0.013697489997444539,-0.0278901221945876,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
230,76,3,0.007531192242277649,-0.030335560104109174,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
